election,election_date,precinct_code,precinct_name,contest,choice,votes,vote_pct,row_type
2019 General Election,2019-11-05,0001,Delphos 1A,STATISTICS,Ballots Cast - Total,186,,choice
2019 General Election,2019-11-05,0001,Delphos 1A,STATISTICS,Ballots Cast - Blank,0,,choice
2019 General Election,2019-11-05,0001,Delphos 1A,For Mayor - Delphos,Doug Mullenhour,155,,choice
2019 General Election,2019-11-05,0001,Delphos 1A,For Mayor - Delphos,Total Votes Cast,155,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For Mayor - Delphos,Overvotes,0,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For Mayor - Delphos,Undervotes,31,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For Mayor - Delphos,Contest Totals,186,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Write-In Totals,25,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Write-In: Not Valid,22,,choice
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Write-In: Nichole Coil,3,,choice
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Not Assigned,0,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Total Votes Cast,25,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Overvotes,0,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Undervotes,161,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For President of City Council - Delphos CITY OF DELPHOS,Contest Totals,186,,tally
2019 General Election,2019-11-05,0001,Delphos 1A,For City Auditor - Delphos,Adam J. Kayser,154,,choice
2019 General Election,2019-11-05,0001,Delphos 1A,For City Auditor - Delphos,Total Votes Cast,154,,tally
