election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0001,Delphos 1A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,26,choice,yes
2026 Primary Election,2026-05-05,0001,Delphos 1A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,26,tally,
2026 Primary Election,2026-05-05,0001,Delphos 1A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0001,Delphos 1A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0001,Delphos 1A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,26,tally,
2026 Primary Election,2026-05-05,0002,Delphos 1B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,27,choice,yes
2026 Primary Election,2026-05-05,0002,Delphos 1B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,27,tally,
2026 Primary Election,2026-05-05,0002,Delphos 1B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0002,Delphos 1B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0002,Delphos 1B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,29,tally,
2026 Primary Election,2026-05-05,0003,Delphos 2A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,38,choice,yes
2026 Primary Election,2026-05-05,0003,Delphos 2A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,38,tally,
2026 Primary Election,2026-05-05,0003,Delphos 2A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0003,Delphos 2A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,8,tally,
2026 Primary Election,2026-05-05,0003,Delphos 2A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,46,tally,
2026 Primary Election,2026-05-05,0004,Delphos 2B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,15,choice,yes
2026 Primary Election,2026-05-05,0004,Delphos 2B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,15,tally,
2026 Primary Election,2026-05-05,0004,Delphos 2B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0004,Delphos 2B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0004,Delphos 2B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,15,tally,
2026 Primary Election,2026-05-05,0005,Lima 1A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,41,choice,yes
2026 Primary Election,2026-05-05,0005,Lima 1A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,41,tally,
2026 Primary Election,2026-05-05,0005,Lima 1A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0005,Lima 1A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,6,tally,
2026 Primary Election,2026-05-05,0005,Lima 1A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,47,tally,
2026 Primary Election,2026-05-05,0006,Lima 1B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,39,choice,yes
2026 Primary Election,2026-05-05,0006,Lima 1B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,39,tally,
2026 Primary Election,2026-05-05,0006,Lima 1B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0006,Lima 1B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0006,Lima 1B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,42,tally,
2026 Primary Election,2026-05-05,0007,Lima 1C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,13,choice,yes
2026 Primary Election,2026-05-05,0007,Lima 1C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,13,tally,
2026 Primary Election,2026-05-05,0007,Lima 1C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0007,Lima 1C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0007,Lima 1C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,15,tally,
2026 Primary Election,2026-05-05,0008,Lima 2A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,60,choice,yes
2026 Primary Election,2026-05-05,0008,Lima 2A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,60,tally,
2026 Primary Election,2026-05-05,0008,Lima 2A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0008,Lima 2A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0008,Lima 2A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,61,tally,
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,54,choice,yes
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,54,tally,
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
