COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
1810 Campbell Street,Hamilton,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
1233 E MAIN,Franklin,,Ohio Historic Preservation Tax Credit,110000.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
Whitelaw Building,Summit,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
Metropolitan Distributing Company,Lucas,,Ohio Historic Preservation Tax Credit,1639451.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
"AG Conversions Ohio, LLC",,,JCTC Job Creation Tax Credit,289288.0,9229000.00,Cancelled,60,0,03/26/2012,45.00,N/A,6
112 Corwine,Hamilton,,Ohio Historic Preservation Tax Credit,71346.0,N/A,Cancelled,N/A,N/A,06/26/2019,N/A,N/A,N/A
Westminster Presbyterian Church,Lucas,,Ohio Historic Preservation Tax Credit,1299531.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
"Leis Medical, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,142967.0,3500000.00,Cancelled,40,264,06/29/2009,N/A,N/A,7
"Carter Express, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,399323.0,5500000.00,Completed,140,0,10/26/2009,40.00,N/A,6
"Crocs, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,525000.0,17300000.00,Servicing,130,0,03/25/2019,N/A,1.540,8
"ContactUS, LLC",Franklin,43206,JCTC Job Creation Tax Credit,449512.0,900000.00,Completed,200,0,01/30/2012,50.00,N/A,6
Dura-Line Corporation,Lorain,44035-4826,JCTC Job Creation Tax Credit,220000.0,3000000.00,Servicing,60,129,12/05/2016,N/A,1.700,6
"Axium Plastics, LLC",Licking,43054,JCTC Job Creation Tax Credit,532957.0,16240000.00,Completed,165,0,03/28/2011,55.00,N/A,7
iQor Holdings US Inc.,Franklin,43054,JCTC Job Creation Tax Credit,824410.0,2000000.00,Completed,300,600,12/05/2011,55.00,N/A,5
